"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1621333,431.0,96363.0,9.0,382244.0,1142726.0,17907.0,4901.0,291.0,13479242.0,40749.0,330790544.0
Russia,2,326448,8894.0,3249.0,150.0,99825.0,223374.0,2300.0,2237.0,22.0,8126626.0,55689.0,145927804.0
Brazil,3,310921,,20082.0,,125960.0,164879.0,8318.0,1464.0,95.0,735224.0,3462.0,212393298.0
Spain,4,280117,,27940.0,,196958.0,55219.0,1152.0,5991.0,598.0,3037840.0,64977.0,46752851.0
UK,5,250908,,36042.0,,,,1559.0,3698.0,531.0,3090566.0,45552.0,67847158.0
Italy,6,228006,,32486.0,,134560.0,60960.0,640.0,3770.0,537.0,3243398.0,53635.0,60471198.0
France,7,181826,,28215.0,,63858.0,89753.0,1745.0,2786.0,432.0,1384633.0,21218.0,65258007.0
Germany,8,179110,89.0,8310.0,1.0,159000.0,11800.0,1016.0,2138.0,99.0,3595059.0,42923.0,83755045.0
Turkey,9,153548,,4249.0,,114990.0,34309.0,820.0,1823.0,50.0,1729988.0,20537.0,84237509.0
Iran,10,131652,2311.0,7300.0,51.0,102276.0,22076.0,2659.0,1570.0,87.0,763913.0,9108.0,83871454.0
India,11,119419,1193.0,3599.0,15.0,48957.0,66863.0,,87.0,3.0,2719434.0,1973.0,1378492893.0
Peru,12,108769,,3148.0,,43587.0,62034.0,886.0,3304.0,96.0,736500.0,22373.0,32919665.0
Canada,13,81324,,6152.0,,41715.0,33457.0,502.0,2157.0,163.0,1379731.0,36592.0,37705478.0
Saudi Arabia,14,65077,,351.0,,36040.0,28686.0,281.0,1873.0,10.0,651158.0,18737.0,34751777.0
Mexico,15,59567,2973.0,6510.0,420.0,40657.0,12400.0,378.0,463.0,51.0,201838.0,1567.0,128781349.0
Chile,16,57581,,589.0,,23992.0,33000.0,943.0,3015.0,31.0,426003.0,22306.0,19098031.0
