"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
USA,738923,131.0,39015.0,1.0,68285.0,631623,13551.0,2232.0,118.0,3722209.0,11245.0
Spain,195944,1528.0,20639.0,,77357.0,97948,7371.0,4191.0,441.0,930230.0,19896.0
Italy,175925,,23227.0,,44927.0,107771,2733.0,2910.0,384.0,1305833.0,21598.0
France,151793,,19323.0,,35983.0,96487,5833.0,2325.0,296.0,463662.0,7103.0
Germany,143724,,4538.0,,88000.0,51186,2922.0,1715.0,54.0,1728357.0,20629.0
UK,114217,,15464.0,,,98409,1559.0,1682.0,228.0,460437.0,6783.0
Turkey,82329,,1890.0,,10453.0,69986,1894.0,976.0,22.0,598933.0,7101.0
Iran,80868,,5031.0,,55987.0,19850,3513.0,963.0,60.0,330137.0,3931.0
Russia,42853,6060.0,361.0,48.0,3291.0,39201,8.0,294.0,2.0,1940000.0,13294.0
Belgium,38496,1313.0,5683.0,230.0,8757.0,24056,1081.0,3322.0,490.0,153778.0,13269.0
Brazil,36925,203.0,2372.0,11.0,14026.0,20527,6634.0,174.0,11.0,62985.0,296.0
Canada,33383,,1470.0,,11207.0,20706,557.0,885.0,39.0,516216.0,13677.0
Netherlands,31589,,3601.0,,250.0,27738,1279.0,1844.0,210.0,154911.0,9041.0
Switzerland,27404,,1368.0,,17100.0,8936,386.0,3166.0,158.0,216400.0,25004.0
Portugal,19685,,687.0,,610.0,18388,228.0,1931.0,67.0,235878.0,23133.0
India,16365,,521.0,,2466.0,13378,,12.0,0.4,372123.0,270.0
Ireland,14758,,571.0,,77.0,14110,294.0,2989.0,116.0,90646.0,18358.0
Austria,14675,4.0,443.0,,10501.0,3731,204.0,1629.0,49.0,179243.0,19902.0
Peru,14420,,348.0,,6684.0,7388,117.0,437.0,11.0,135895.0,4122.0
Sweden,13822,,1511.0,,550.0,11761,1054.0,1369.0,150.0,74600.0,7387.0
Israel,13362,97.0,171.0,7.0,3564.0,9627,156.0,1544.0,20.0,187250.0,21634.0
S. Korea,10661,8.0,234.0,2.0,8042.0,2385,55.0,208.0,5.0,559109.0,10905.0
Japan,10296,,222.0,,1069.0,9005,221.0,81.0,2.0,111325.0,880.0
Chile,9730,,126.0,,4035.0,5569,360.0,509.0,7.0,108891.0,5696.0
Poland,9082,340.0,350.0,3.0,1040.0,7692,160.0,240.0,9.0,192960.0,5098.0
Ecuador,9022,,456.0,,1008.0,7558,168.0,511.0,26.0,30922.0,1753.0
Romania,8746,328.0,434.0,13.0,1892.0,6420,256.0,455.0,23.0,93611.0,4866.0
Saudi Arabia,8274,,92.0,,1329.0,6853,78.0,238.0,3.0,150000.0,4309.0
Pakistan,7993,355.0,159.0,16.0,1868.0,5966,46.0,36.0,0.7,98522.0,446.0
Mexico,7497,622.0,650.0,104.0,2627.0,4220,207.0,58.0,5.0,49167.0,381.0
Denmark,7242,,346.0,,3847.0,3049,76.0,1250.0,60.0,91437.0,15786.0
Norway,7069,33.0,164.0,,32.0,6873,63.0,1304.0,30.0,139668.0,25763.0
UAE,6781,479.0,41.0,4.0,1286.0,5454,1.0,686.0,4.0,767000.0,77550.0
Czechia,6657,51.0,181.0,,1235.0,5241,84.0,622.0,17.0,168096.0,15697.0
Australia,6606,20.0,70.0,,4230.0,2306,48.0,259.0,3.0,420996.0,16510.0
Singapore,6588,596.0,11.0,,740.0,5837,23.0,1126.0,2.0,94796.0,16203.0
Indonesia,6575,327.0,582.0,47.0,686.0,5307,,24.0,2.0,42219.0,154.0
Philippines,6259,172.0,409.0,12.0,572.0,5278,1.0,57.0,4.0,59928.0,547.0
Serbia,5994,,117.0,,637.0,5240,126.0,686.0,13.0,36028.0,4123.0
Ukraine,5449,343.0,141.0,8.0,347.0,4961,45.0,125.0,3.0,57111.0,1306.0
Malaysia,5389,84.0,89.0,1.0,3197.0,2103,46.0,167.0,3.0,100794.0,3114.0
Qatar,5008,,8.0,,510.0,4490,37.0,1738.0,3.0,60139.0,20874.0
Belarus,4779,,45.0,,342.0,4392,65.0,506.0,5.0,86813.0,9187.0
Dominican Republic,4335,,217.0,,312.0,3806,146.0,400.0,20.0,14373.0,1325.0
Panama,4273,63.0,120.0,4.0,140.0,4013,96.0,990.0,28.0,19091.0,4425.0
Finland,3783,102.0,94.0,4.0,1700.0,1989,70.0,683.0,17.0,57300.0,10342.0
Colombia,3621,,166.0,,691.0,2764,98.0,71.0,3.0,59002.0,1160.0
Luxembourg,3537,,72.0,,601.0,2864,32.0,5650.0,115.0,33252.0,53120.0
South Africa,3034,,52.0,,903.0,2079,36.0,51.0,0.9,108021.0,1821.0
Egypt,3032,,224.0,,701.0,2107,,30.0,2.0,55000.0,537.0
Argentina,2839,,132.0,,685.0,2022,127.0,63.0,3.0,30942.0,685.0
Morocco,2820,135.0,138.0,1.0,322.0,2360,1.0,76.0,4.0,14189.0,384.0
Thailand,2765,32.0,47.0,,1928.0,790,61.0,40.0,0.7,100498.0,1440.0
Algeria,2534,,367.0,,894.0,1273,60.0,58.0,8.0,6500.0,148.0
Bangladesh,2456,312.0,91.0,7.0,75.0,2290,1.0,15.0,0.6,23941.0,145.0
Moldova,2378,,61.0,4.0,457.0,1860,80.0,589.0,15.0,9848.0,2441.0
Greece,2235,,110.0,,269.0,1856,67.0,214.0,11.0,53290.0,5113.0
Hungary,1916,82.0,189.0,17.0,250.0,1477,61.0,198.0,20.0,46353.0,4798.0
Kuwait,1915,164.0,7.0,1.0,305.0,1603,38.0,448.0,2.0,,
Croatia,1832,,39.0,,615.0,1178,27.0,446.0,9.0,21647.0,5273.0
Bahrain,1773,,7.0,,755.0,1011,3.0,1042.0,4.0,82568.0,48524.0
Iceland,1760,,9.0,,1291.0,460,3.0,5158.0,26.0,41091.0,120416.0
Kazakhstan,1661,46.0,17.0,,382.0,1262,22.0,88.0,0.9,100878.0,5373.0
Estonia,1528,16.0,40.0,2.0,164.0,1324,10.0,1152.0,30.0,40333.0,30405.0
Iraq,1513,,82.0,,953.0,478,,38.0,2.0,53955.0,1341.0
Uzbekistan,1495,5.0,5.0,,194.0,1296,8.0,45.0,0.1,136000.0,4063.0
New Zealand,1431,9.0,12.0,1.0,912.0,507,18.0,297.0,2.0,83224.0,17258.0
Azerbaijan,1373,,18.0,,590.0,765,21.0,135.0,2.0,86607.0,8542.0
