"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1571018,435.0,93542.0,9.0,361227.0,1116249.0,17249.0,4749.0,283.0,12647099.0,38234.0,330779957.0
Russia,2,308705,8764.0,2972.0,135.0,85392.0,220341.0,2300.0,2115.0,20.0,7500000.0,51395.0,145927463.0
Spain,3,278803,,27778.0,,196958.0,54067.0,1152.0,5963.0,594.0,3037840.0,64977.0,46752753.0
Brazil,4,271885,,17983.0,,106794.0,147108.0,8318.0,1280.0,85.0,735224.0,3462.0,212385054.0
UK,5,248818,,35341.0,,,,1559.0,3667.0,521.0,2772552.0,40866.0,67845213.0
Italy,6,226699,,32169.0,,129401.0,65129.0,716.0,3749.0,532.0,3104524.0,51338.0,60471682.0
France,7,180809,,28022.0,,62563.0,90224.0,1894.0,2771.0,429.0,1384633.0,21218.0,65257220.0
Germany,8,177842,15.0,8193.0,,156900.0,12749.0,1115.0,2123.0,98.0,3147771.0,37584.0,83753585.0
Turkey,9,151615,,4199.0,,112895.0,34521.0,882.0,1800.0,50.0,1675517.0,19892.0,84232553.0
Iran,10,124603,,7119.0,,97173.0,20311.0,2698.0,1486.0,85.0,716176.0,8540.0,83865579.0
India,11,106886,411.0,3303.0,1.0,42309.0,61274.0,,78.0,2.0,2512388.0,1823.0,1378418813.0
Peru,12,99483,,2914.0,,36524.0,60045.0,883.0,3022.0,89.0,679582.0,20645.0,32917154.0
Canada,13,79112,,5912.0,,40050.0,33150.0,502.0,2098.0,157.0,1339971.0,35540.0,37703672.0
Saudi Arabia,14,59854,,329.0,,31634.0,27891.0,251.0,1722.0,9.0,618084.0,17787.0,34748812.0
Belgium,15,55983,192.0,9150.0,42.0,14847.0,31986.0,313.0,4833.0,790.0,720228.0,62175.0,11583877.0
Mexico,16,54346,2713.0,5666.0,334.0,37325.0,11355.0,378.0,422.0,44.0,185755.0,1442.0,128773952.0
Chile,17,49579,,509.0,,21507.0,27563.0,876.0,2596.0,27.0,397200.0,20799.0,19097135.0
Pakistan,18,45898,1932.0,985.0,46.0,13101.0,31812.0,111.0,208.0,4.0,414254.0,1880.0,220368526.0
Netherlands,19,44249,,5715.0,,,,293.0,2583.0,334.0,302395.0,17652.0,17130596.0
Qatar,20,35606,,15.0,,5634.0,29957.0,172.0,12384.0,5.0,166182.0,57799.0,2875180.0
Ecuador,21,34151,,2839.0,,3457.0,27855.0,221.0,1939.0,161.0,98171.0,5574.0,17610964.0
Belarus,22,31508,,175.0,,10620.0,20713.0,92.0,3334.0,19.0,375076.0,39692.0,9449669.0
Sweden,23,30799,,3743.0,,4971.0,22085.0,287.0,3052.0,371.0,209900.0,20799.0,10092027.0
Switzerland,24,30618,,1891.0,,27700.0,1027.0,57.0,3541.0,219.0,350099.0,40486.0,8647311.0
Portugal,25,29432,,1247.0,,6431.0,21754.0,101.0,2885.0,122.0,662375.0,64939.0,10199983.0
Singapore,26,29364,570.0,22.0,,10365.0,18977.0,10.0,5024.0,4.0,246254.0,42131.0,5845014.0
Bangladesh,27,26738,1617.0,386.0,16.0,5207.0,21145.0,1.0,163.0,2.0,203852.0,1239.0,164497521.0
UAE,28,25063,,227.0,,10791.0,14045.0,1.0,2538.0,23.0,1600923.0,162098.0,9876291.0
Ireland,29,24251,,1561.0,,19470.0,3220.0,54.0,4918.0,317.0,295626.0,59949.0,4931300.0
Poland,30,19569,301.0,953.0,5.0,8183.0,10433.0,160.0,517.0,25.0,653224.0,17258.0,37851214.0
Ukraine,31,19230,354.0,564.0,16.0,5955.0,12711.0,245.0,439.0,13.0,248529.0,5679.0,43762271.0
