"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1745911,108.0,102114.0,7.0,490151.0,1153646.0,17166.0,5277.0,309.0,15877027.0,47993.0,330822304
Brazil,2,414661,,25697.0,,166647.0,222317.0,8318.0,1952.0,121.0,871839.0,4104.0,212418030
Russia,3,379051,8371.0,4142.0,174.0,150993.0,223916.0,2300.0,2598.0,28.0,9701280.0,66480.0,145928826
Spain,4,283849,,27118.0,,196958.0,59773.0,854.0,6071.0,580.0,3556567.0,76071.0,46753147
UK,5,267240,,37460.0,,,,1559.0,3939.0,552.0,3798490.0,55981.0,67852992
Italy,6,231139,,33072.0,,147101.0,50966.0,505.0,3822.0,547.0,3607251.0,59654.0,60469746
France,7,182913,,28596.0,,66584.0,87733.0,1501.0,2803.0,438.0,1384633.0,21217.0,65260368
Germany,8,181895,,8533.0,,163200.0,10162.0,763.0,2172.0,102.0,3952971.0,47194.0,83759426
Turkey,9,159797,,4431.0,,122793.0,32573.0,723.0,1897.0,53.0,1894650.0,22488.0,84252379
India,10,158897,811.0,4540.0,6.0,67901.0,86456.0,8944.0,115.0,3.0,3362136.0,2439.0,1378715135
Iran,11,143849,2258.0,7627.0,63.0,112988.0,23234.0,2543.0,1715.0,91.0,876492.0,10448.0,83889077
Peru,12,135905,,3983.0,,56169.0,75753.0,926.0,4127.0,121.0,905278.0,27493.0,32927196
Canada,13,87519,,6765.0,,46164.0,34590.0,502.0,2321.0,179.0,1530931.0,40597.0,37710897
Chile,14,82289,,841.0,,33540.0,47908.0,1251.0,4308.0,44.0,514523.0,26937.0,19100718
Saudi Arabia,15,78541,,425.0,,51022.0,27094.0,384.0,2259.0,12.0,754268.0,21699.0,34760671
Mexico,16,78023,3463.0,8597.0,463.0,54383.0,15043.0,378.0,606.0,67.0,244858.0,1901.0,128803542
Pakistan,17,61227,2076.0,1260.0,35.0,20231.0,39736.0,111.0,278.0,6.0,508086.0,2305.0,220462432
Belgium,18,57849,257.0,9388.0,24.0,15572.0,32889.0,208.0,4993.0,810.0,818807.0,70678.0,11584977
Qatar,19,48947,,30.0,,13283.0,35634.0,203.0,17018.0,10.0,201180.0,69945.0,2876244
Netherlands,20,45768,,5871.0,,,,188.0,2672.0,343.0,335524.0,19585.0,17131422
Bangladesh,21,40321,2029.0,559.0,15.0,8425.0,31337.0,1.0,245.0,3.0,275776.0,1676.0,164533357
Belarus,22,39858,902.0,219.0,5.0,16660.0,22979.0,92.0,4218.0,23.0,499249.0,52833.0,9449602
Ecuador,23,38103,,3275.0,,18425.0,16403.0,219.0,2163.0,186.0,109541.0,6218.0,17616823
Sweden,24,35088,,4220.0,,4971.0,25897.0,264.0,3476.0,418.0,238800.0,23659.0,10093401
Singapore,25,33249,373.0,23.0,,17276.0,15950.0,7.0,5687.0,4.0,334691.0,57251.0,5846018
UAE,26,32532,563.0,258.0,3.0,16685.0,15589.0,1.0,3293.0,26.0,2110493.0,213636.0,9878903
Portugal,27,31292,,1356.0,,18349.0,11587.0,66.0,3068.0,133.0,764093.0,74916.0,10199336
Switzerland,28,30796,20.0,1917.0,,28300.0,579.0,36.0,3561.0,222.0,385822.0,44610.0,8648693
South Africa,29,25937,,552.0,,13451.0,11934.0,128.0,438.0,9.0,634996.0,10720.0,59236519
Ireland,30,24803,,1631.0,,22089.0,1083.0,54.0,5028.0,331.0,325795.0,66051.0,4932505
Indonesia,31,24538,687.0,1496.0,23.0,6240.0,16802.0,,90.0,5.0,289906.0,1061.0,273247624
Kuwait,32,24112,845.0,185.0,10.0,8698.0,15229.0,197.0,5654.0,43.0,282341.0,66209.0,4264401
Colombia,33,24104,,803.0,,6111.0,17190.0,136.0,474.0,16.0,283346.0,5574.0,50831115
Poland,34,22600,127.0,1030.0,2.0,10560.0,11010.0,160.0,597.0,27.0,824774.0,21790.0,37850312
Ukraine,35,22382,477.0,669.0,11.0,8439.0,13274.0,263.0,512.0,15.0,322746.0,7376.0,43756559
Egypt,36,19666,,816.0,,5205.0,13645.0,41.0,193.0,8.0,135000.0,1322.0,102141537
Romania,37,18791,197.0,1229.0,2.0,12629.0,4933.0,182.0,976.0,64.0,410000.0,21300.0,19248782
Israel,38,16809,16.0,281.0,,14602.0,1926.0,41.0,1828.0,31.0,558516.0,60724.0,9197590
Japan,39,16651,,858.0,,13973.0,1820.0,147.0,132.0,7.0,278642.0,2203.0,126510637
Austria,40,16628,37.0,668.0,23.0,15286.0,674.0,30.0,1847.0,74.0,427372.0,47477.0,9001628
Dominican Republic,41,15723,,474.0,,8790.0,6459.0,123.0,1451.0,44.0,70972.0,6549.0,10837562
Philippines,42,15588,539.0,921.0,17.0,3598.0,11069.0,81.0,142.0,8.0,315363.0,2882.0,109439758
Argentina,43,13933,,500.0,,4349.0,9084.0,171.0,309.0,11.0,140218.0,3105.0,45156510
Afghanistan,44,13036,580.0,235.0,8.0,1209.0,11592.0,19.0,336.0,6.0,34903.0,899.0,38838960
Panama,45,11728,,315.0,,7379.0,4034.0,72.0,2722.0,73.0,61895.0,14367.0,4308096
Denmark,46,11480,,565.0,,10106.0,809.0,22.0,1983.0,98.0,576061.0,99487.0,5790332
S. Korea,47,11344,79.0,269.0,,10340.0,735.0,15.0,221.0,5.0,868666.0,16945.0,51265201
Serbia,48,11275,,240.0,,6277.0,4758.0,10.0,1290.0,27.0,229485.0,26255.0,8740460
Bahrain,49,9692,,15.0,,5152.0,4525.0,10.0,5718.0,9.0,291127.0,171743.0,1695130
Kazakhstan,50,9576,272.0,37.0,,4827.0,4712.0,62.0,511.0,2.0,735273.0,39204.0,18755108
Czechia,51,9103,17.0,317.0,,6377.0,2409.0,21.0,850.0,30.0,424423.0,39639.0,10707177
Oman,52,9009,636.0,40.0,1.0,2177.0,6792.0,31.0,1769.0,8.0,72000.0,14137.0,5093172
Algeria,53,8857,,623.0,,5129.0,3105.0,32.0,202.0,14.0,,,43772270
Nigeria,54,8733,,254.0,,2501.0,5978.0,7.0,42.0,1.0,44458.0,216.0,205612176
Norway,55,8401,,235.0,,7727.0,439.0,11.0,1551.0,43.0,239864.0,44278.0,5417258
Armenia,56,8216,442.0,113.0,15.0,3287.0,4816.0,10.0,2773.0,38.0,54931.0,18541.0,2962740
Bolivia,57,7768,632.0,280.0,6.0,689.0,6799.0,3.0,666.0,24.0,22294.0,1912.0,11657564
Morocco,58,7636,35.0,202.0,,5109.0,2325.0,1.0,207.0,5.0,174210.0,4725.0,36868513
Malaysia,59,7629,10.0,115.0,,6169.0,1345.0,8.0,236.0,4.0,519944.0,16084.0,32325930
Moldova,60,7537,,276.0,2.0,4123.0,3138.0,256.0,1868.0,68.0,40565.0,10054.0,4034794
Ghana,61,7303,,34.0,,2412.0,4857.0,16.0,236.0,1.0,205890.0,6640.0,31007405
Australia,62,7150,11.0,103.0,,6579.0,468.0,5.0,281.0,4.0,1362384.0,53487.0,25471489
Finland,63,6743,51.0,313.0,,5100.0,1330.0,11.0,1217.0,56.0,176650.0,31887.0,5539940
Cameroon,64,5436,,175.0,,1996.0,3265.0,28.0,205.0,7.0,,,26477611
Iraq,65,5135,,175.0,,2904.0,2056.0,41.0,128.0,4.0,206381.0,5143.0,40130509
