"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
USA,1131492,462.0,65776.0,23.0,161563.0,904153,16481.0,3418.0,199.0,6699878.0,20241.0
Spain,242988,,24824.0,,142450.0,75714,2500.0,5197.0,531.0,1528833.0,32699.0
Italy,207428,,28236.0,,78249.0,100943,1578.0,3431.0,467.0,2053425.0,33962.0
UK,177454,,27510.0,,,149600,1559.0,2614.0,405.0,1023824.0,15082.0
France,167346,,24594.0,,50212.0,92540,3878.0,2564.0,377.0,1100228.0,16856.0
Germany,164077,,6736.0,,129000.0,28341,2189.0,1958.0,80.0,2547052.0,30400.0
Russia,124054,9623.0,1222.0,53.0,15013.0,107819,2300.0,850.0,8.0,3945518.0,27036.0
Turkey,122392,,3258.0,,53808.0,65326,1480.0,1451.0,39.0,1075048.0,12747.0
Iran,95646,,6091.0,,76318.0,13237,2899.0,1139.0,73.0,475023.0,5656.0
Brazil,92202,93.0,6412.0,2.0,38039.0,47751,8318.0,434.0,30.0,339552.0,1597.0
Canada,55061,,3391.0,,22751.0,28919,557.0,1459.0,90.0,832222.0,22050.0
Belgium,49517,485.0,7765.0,62.0,12211.0,29541,689.0,4273.0,670.0,260996.0,22520.0
Peru,40459,,1124.0,,11129.0,28206,658.0,1227.0,34.0,342498.0,10388.0
Netherlands,39791,,4893.0,,,34648,735.0,2322.0,286.0,225899.0,13184.0
India,37336,79.0,1223.0,,10007.0,26106,,27.0,0.9,976363.0,708.0
Switzerland,29817,112.0,1754.0,,23900.0,4163,167.0,3445.0,203.0,276000.0,31890.0
Ecuador,26336,,1063.0,,1913.0,23360,149.0,1493.0,60.0,71950.0,4078.0
Portugal,25351,,1007.0,,1647.0,22697,154.0,2486.0,99.0,409961.0,40205.0
Saudi Arabia,24097,,169.0,,3555.0,20373,117.0,692.0,5.0,326955.0,9392.0
Sweden,21520,,2653.0,,1005.0,17862,531.0,2131.0,263.0,119500.0,11833.0
Ireland,20833,,1265.0,,13386.0,6182,123.0,4219.0,256.0,153954.0,31179.0
Mexico,20739,1515.0,1972.0,113.0,12377.0,6390,378.0,161.0,15.0,91188.0,707.0
Pakistan,18114,22.0,417.0,,4715.0,12982,111.0,82.0,2.0,193859.0,878.0
Singapore,17548,447.0,16.0,,1268.0,16264,23.0,2999.0,3.0,143919.0,24600.0
Chile,17008,,234.0,,9018.0,7756,392.0,890.0,12.0,189433.0,9910.0
Israel,16152,51.0,227.0,2.0,9400.0,6525,107.0,1866.0,26.0,364467.0,42108.0
Belarus,15828,911.0,97.0,4.0,3117.0,12614,92.0,1675.0,10.0,195430.0,20682.0
Austria,15531,,589.0,,13110.0,1832,124.0,1724.0,65.0,269619.0,29936.0
Japan,14305,,455.0,,2975.0,10875,328.0,113.0,4.0,174150.0,1377.0
Qatar,14096,,12.0,,1436.0,12648,72.0,4893.0,4.0,97726.0,33920.0
Poland,13105,,651.0,,3491.0,8963,160.0,346.0,17.0,354628.0,9370.0
UAE,13038,,111.0,,2543.0,10384,1.0,1318.0,11.0,1200000.0,121330.0
Romania,12732,165.0,755.0,11.0,4547.0,7430,265.0,662.0,39.0,190540.0,9905.0
Ukraine,11411,550.0,279.0,7.0,1498.0,9634,151.0,261.0,6.0,122752.0,2807.0
Indonesia,10843,292.0,831.0,31.0,1665.0,8347,,40.0,3.0,107943.0,395.0
