"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
USA,925758,526.0,52217.0,24.0,110432.0,763109,15097.0,2797.0,158.0,5037473.0,15219.0
Spain,219764,,22524.0,,92355.0,104885,7705.0,4700.0,482.0,930230.0,19896.0
Italy,192994,,25969.0,,60498.0,106527,2173.0,3192.0,430.0,1642356.0,27164.0
France,159828,,22245.0,,43493.0,94090,4870.0,2449.0,341.0,463662.0,7103.0
Germany,155054,55.0,5767.0,7.0,109800.0,39487,2908.0,1851.0,69.0,2072669.0,24738.0
UK,143464,,19506.0,,,123614,1559.0,2113.0,287.0,612031.0,9016.0
Turkey,104912,,2600.0,,21737.0,80575,1790.0,1244.0,31.0,830257.0,9844.0
Iran,88194,,5574.0,,66599.0,16021,3121.0,1050.0,66.0,399927.0,4761.0
Russia,74588,5966.0,681.0,66.0,6250.0,67657,2300.0,511.0,5.0,2721500.0,18649.0
Brazil,54043,1048.0,3704.0,34.0,27655.0,22684,8318.0,254.0,17.0,291922.0,1373.0
Belgium,45325,1032.0,6917.0,238.0,10417.0,27991,934.0,3911.0,597.0,189067.0,16313.0
Canada,43888,,2302.0,,15469.0,26117,557.0,1163.0,61.0,660108.0,17490.0
Netherlands,36535,,4289.0,,,31996,963.0,2132.0,250.0,187000.0,10913.0
Switzerland,28677,,1593.0,4.0,21000.0,6084,204.0,3313.0,184.0,235252.0,27182.0
India,24530,83.0,780.0,,5498.0,18252,,18.0,0.6,579957.0,420.0
Portugal,22797,,854.0,,1228.0,20715,188.0,2236.0,84.0,315758.0,30967.0
Ecuador,22719,,576.0,,1366.0,20777,127.0,1288.0,33.0,56513.0,3203.0
Peru,21648,,634.0,,7496.0,13518,505.0,657.0,19.0,198349.0,6016.0
Ireland,18184,,1014.0,,9233.0,7937,142.0,3683.0,205.0,111584.0,22598.0
