"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1507798,25.0,90113.0,,339232.0,1078453.0,16248.0,4559.0,272.0,11952481.0,36136.0,330764077.0
Russia,2,281752,9709.0,2631.0,94.0,67373.0,211748.0,2300.0,1931.0,18.0,6916088.0,47394.0,145926952.0
Spain,3,277719,1214.0,27650.0,87.0,195945.0,54124.0,1152.0,5940.0,591.0,3037840.0,64977.0,46752605.0
UK,4,240161,,34466.0,,,,1559.0,3540.0,508.0,2489563.0,36696.0,67842296.0
Brazil,5,233511,369.0,15662.0,29.0,89672.0,128177.0,8318.0,1100.0,74.0,735224.0,3462.0,212372688.0
Italy,6,224760,,31763.0,,122810.0,70187.0,775.0,3717.0,525.0,2944859.0,48698.0,60472408.0
France,7,179365,,27625.0,,61066.0,90674.0,2132.0,2749.0,423.0,1384633.0,21218.0,65256039.0
Germany,8,176244,,8027.0,,153400.0,14817.0,1203.0,2104.0,96.0,3147771.0,37585.0,83751395.0
Turkey,9,148067,,4096.0,,108137.0,35834.0,906.0,1758.0,49.0,1589625.0,18874.0,84225118.0
Iran,10,118392,,6937.0,,93147.0,18308.0,2716.0,1412.0,83.0,672679.0,8022.0,83856767.0
India,11,91314,666.0,2897.0,26.0,34581.0,53836.0,,66.0,2.0,2227642.0,1616.0,1378307692.0
Peru,12,88541,,2523.0,,28272.0,57746.0,840.0,2690.0,77.0,630482.0,19156.0,32913388.0
Canada,13,75864,,5679.0,,37819.0,32366.0,502.0,2012.0,151.0,1265502.0,33567.0,37700962.0
Belgium,14,55280,291.0,9052.0,47.0,14630.0,31598.0,371.0,4772.0,781.0,682980.0,58962.0,11583464.0
Saudi Arabia,15,52016,,302.0,,23666.0,28048.0,166.0,1497.0,9.0,565228.0,16268.0,34744365.0
Mexico,16,47144,2112.0,5045.0,278.0,31848.0,10251.0,378.0,366.0,39.0,163691.0,1271.0,128762855.0
Netherlands,17,43870,,5670.0,,,,346.0,2561.0,331.0,287943.0,16809.0,17130286.0
Chile,18,41428,,421.0,,18014.0,22993.0,751.0,2169.0,22.0,350325.0,18346.0,19095791.0
Pakistan,19,40151,1352.0,873.0,39.0,11341.0,27937.0,111.0,182.0,4.0,373410.0,1695.0,220333311.0
Ecuador,20,32763,,2688.0,,3433.0,26642.0,197.0,1861.0,153.0,93344.0,5301.0,17608766.0
Qatar,21,30972,,15.0,,3788.0,27169.0,158.0,10774.0,5.0,152704.0,53118.0,2874781.0
Switzerland,22,30587,15.0,1879.0,,27400.0,1308.0,69.0,3537.0,217.0,343359.0,39709.0,8646793.0
Sweden,23,29677,,3674.0,,4971.0,21032.0,278.0,2941.0,364.0,177500.0,17589.0,10091512.0
Portugal,24,28810,,1203.0,,3822.0,23785.0,115.0,2824.0,118.0,600061.0,58828.0,10200225.0
Belarus,25,28681,,160.0,,9498.0,19023.0,92.0,3035.0,17.0,335057.0,35457.0,9449695.0
Singapore,26,28038,682.0,22.0,,8342.0,19674.0,16.0,4797.0,4.0,246254.0,42133.0,5844637.0
Ireland,27,24048,,1533.0,,19470.0,3045.0,69.0,4877.0,311.0,258808.0,52488.0,4930848.0
UAE,28,22627,,214.0,,7931.0,14482.0,1.0,2291.0,22.0,1560923.0,158063.0,9875312.0
Bangladesh,29,22268,1273.0,328.0,14.0,4373.0,17567.0,1.0,135.0,2.0,175228.0,1065.0,164484082.0
Poland,30,18394,137.0,919.0,4.0,7451.0,10024.0,160.0,486.0,24.0,601394.0,15888.0,37851553.0
Ukraine,31,18291,433.0,514.0,17.0,5116.0,12661.0,238.0,418.0,12.0,227801.0,5205.0,43764414.0
Indonesia,32,17514,489.0,1148.0,59.0,4129.0,12237.0,,64.0,4.0,187965.0,688.0,273160748.0
Romania,33,16871,167.0,1097.0,3.0,9890.0,5884.0,205.0,876.0,57.0,310407.0,16123.0,19252618.0
Israel,34,16607,,271.0,3.0,12884.0,3452.0,59.0,1923.0,31.0,498711.0,57733.0,8638177.0
Austria,35,16242,41.0,629.0,,14563.0,1050.0,48.0,1805.0,70.0,362509.0,40278.0,9000086.0
Japan,36,16237,,725.0,,10338.0,5174.0,232.0,128.0,6.0,240368.0,1900.0,126522222.0
Colombia,37,14939,,562.0,,3587.0,10790.0,136.0,294.0,11.0,190114.0,3741.0,50814825.0
South Africa,38,14355,,261.0,,6478.0,7616.0,119.0,242.0,4.0,439559.0,7423.0,59214047.0
Kuwait,39,13802,,107.0,,3843.0,9852.0,169.0,3238.0,25.0,240716.0,56473.0,4262502.0
Philippines,40,12513,208.0,824.0,7.0,2635.0,9054.0,79.0,114.0,8.0,215060.0,1966.0,109395919.0
Dominican Republic,41,12110,,428.0,,3726.0,7956.0,127.0,1118.0,40.0,50108.0,4625.0,10834295.0
Egypt,42,11719,,612.0,,2950.0,8157.0,41.0,115.0,6.0,135000.0,1322.0,102083440.0
S. Korea,43,11050,13.0,262.0,,9888.0,900.0,55.0,216.0,5.0,747653.0,14584.0,51263879.0
Denmark,44,10858,,543.0,,9107.0,1208.0,28.0,1875.0,94.0,444562.0,76785.0,5789720.0
Serbia,45,10496,,228.0,,4479.0,5789.0,17.0,1201.0,26.0,174746.0,19990.0,8741513.0
Panama,46,9449,181.0,269.0,3.0,6080.0,3100.0,72.0,2194.0,62.0,49104.0,11403.0,4306053.0
Czechia,47,8457,2.0,297.0,1.0,5422.0,2738.0,39.0,790.0,28.0,353186.0,32988.0,10706582.0
Norway,48,8237,,232.0,,32.0,7973.0,20.0,1521.0,43.0,216350.0,39947.0,5415986.0
Argentina,49,7805,,363.0,,2534.0,4908.0,170.0,173.0,8.0,100362.0,2223.0,45144058.0
Australia,50,7044,8.0,98.0,,6364.0,582.0,16.0,277.0,4.0,1042431.0,40940.0,25462599.0
Malaysia,51,6894,22.0,113.0,,5571.0,1210.0,13.0,213.0,3.0,443263.0,13718.0,32313467.0
Algeria,52,6821,,542.0,,3409.0,2870.0,22.0,156.0,12.0,6500.0,149.0,43748441.0
Morocco,53,6798,57.0,192.0,,3645.0,2961.0,1.0,184.0,5.0,89048.0,2416.0,36855368.0
Bahrain,54,6747,,12.0,,2762.0,3973.0,3.0,3984.0,7.0,230188.0,135937.0,1693342.0
Afghanistan,55,6402,,168.0,,745.0,5489.0,19.0,165.0,4.0,21967.0,566.0,38812546.0
Finland,56,6347,61.0,298.0,1.0,5000.0,1049.0,30.0,1146.0,54.0,146800.0,26500.0,5539682.0
Kazakhstan,57,6157,307.0,34.0,,2980.0,3143.0,31.0,328.0,2.0,505216.0,26947.0,18748360.0
Moldova,58,5934,,207.0,,2344.0,3383.0,251.0,1471.0,51.0,20447.0,5067.0,4035075.0
Ghana,59,5735,,29.0,,1754.0,3952.0,5.0,185.0,0.9,171642.0,5539.0,30987872.0
Nigeria,60,5621,,176.0,,1472.0,3973.0,7.0,27.0,0.9,32942.0,160.0,205458157.0
Oman,61,5186,157.0,22.0,1.0,1465.0,3699.0,31.0,1019.0,4.0,61000.0,11986.0,5089256.0
Armenia,62,4472,189.0,60.0,5.0,1925.0,2487.0,10.0,1509.0,20.0,40230.0,13579.0,2962574.0
Luxembourg,63,3930,,104.0,,3699.0,127.0,15.0,6291.0,166.0,60246.0,96445.0,624669.0
Bolivia,64,3826,249.0,165.0,1.0,473.0,3188.0,3.0,328.0,14.0,14803.0,1270.0,11652778.0
Hungary,65,3509,36.0,451.0,3.0,1396.0,1662.0,47.0,363.0,47.0,135137.0,13985.0,9663257.0
Iraq,66,3260,,121.0,,2126.0,1013.0,,81.0,3.0,140573.0,3505.0,40103316.0
Azerbaijan,67,3138,,36.0,,1944.0,1158.0,37.0,310.0,4.0,226005.0,22315.0,10127789.0
Cameroon,68,3105,,140.0,,1567.0,1398.0,28.0,117.0,5.0,,,26457691.0
Thailand,69,3028,3.0,56.0,,2856.0,116.0,61.0,43.0,0.8,286008.0,4099.0,69778764.0
Greece,70,2819,,162.0,,1374.0,1283.0,23.0,270.0,16.0,126283.0,12109.0,10429023.0
Uzbekistan,71,2741,3.0,11.0,,2213.0,517.0,8.0,82.0,0.3,460000.0,13769.0,33407309.0
Guinea,72,2658,,16.0,,1133.0,1509.0,18.0,203.0,1.0,10304.0,787.0,13084805.0
Honduras,73,2565,105.0,138.0,4.0,278.0,2149.0,10.0,260.0,14.0,5653.0,572.0,9884383.0
Senegal,74,2429,,25.0,,949.0,1455.0,6.0,146.0,1.0,24599.0,1474.0,16684681.0
Sudan,75,2289,,97.0,,222.0,1970.0,,52.0,2.0,,,43713550.0
Bosnia and Herzegovina,76,2267,,129.0,,1355.0,783.0,4.0,690.0,39.0,48528.0,14781.0,3283197.0
Croatia,77,2224,,95.0,,1913.0,216.0,9.0,541.0,23.0,52425.0,12761.0,4108218.0
Bulgaria,78,2211,36.0,108.0,3.0,598.0,1505.0,45.0,318.0,16.0,65574.0,9429.0,6954506.0
Ivory Coast,79,2061,,25.0,,987.0,1049.0,,78.0,1.0,15260.0,580.0,26291162.0
Cuba,80,1862,,79.0,,1460.0,323.0,7.0,164.0,7.0,79834.0,7048.0,11327442.0
Iceland,81,1802,,10.0,,1786.0,6.0,,5285.0,29.0,56742.0,166413.0,340970.0
Estonia,82,1774,4.0,63.0,,938.0,773.0,4.0,1337.0,47.0,69520.0,52411.0,1326428.0
