"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1593296,573.0,94948.0,12.0,370864.0,1127484.0,17815.0,4817.0,287.0,14176713.0,42858.0,330785250.0
Russia,2,317554,8849.0,3099.0,127.0,92681.0,221774.0,2300.0,2176.0,21.0,7840880.0,53731.0,145927633.0
Brazil,3,293357,,18894.0,,116683.0,157780.0,8318.0,1381.0,89.0,735224.0,3462.0,212389176.0
Spain,4,279524,,27888.0,,196958.0,54678.0,1152.0,5979.0,596.0,3037840.0,64977.0,46752802.0
UK,5,248293,,35704.0,,,,1559.0,3660.0,526.0,2962227.0,43661.0,67846185.0
Italy,6,227364,,32330.0,,132282.0,62752.0,676.0,3760.0,535.0,3171719.0,52450.0,60471440.0
France,7,181575,,28132.0,,63354.0,90089.0,1794.0,2782.0,431.0,1384633.0,21218.0,65257613.0
Germany,8,178531,,8270.0,,158000.0,12261.0,1045.0,2132.0,99.0,3595059.0,42924.0,83754315.0
Turkey,9,152587,,4222.0,,113987.0,34378.0,877.0,1811.0,50.0,1696355.0,20138.0,84235031.0
Iran,10,126949,,7183.0,,98808.0,20958.0,2735.0,1514.0,86.0,731213.0,8719.0,83868516.0
India,11,112442,414.0,3438.0,4.0,45422.0,63582.0,,82.0,2.0,2615920.0,1898.0,1378455853.0
Peru,12,104020,,3024.0,,41968.0,59028.0,869.0,3160.0,92.0,715423.0,21733.0,32918409.0
Canada,13,80142,,6031.0,,40776.0,33335.0,502.0,2126.0,160.0,1375126.0,36471.0,37704575.0
Saudi Arabia,14,62545,,339.0,,33478.0,28728.0,276.0,1800.0,10.0,636178.0,18307.0,34750295.0
Mexico,15,56594,2248.0,6090.0,424.0,38876.0,11628.0,378.0,439.0,47.0,185755.0,1442.0,128777650.0
Belgium,16,56235,252.0,9186.0,36.0,14988.0,32061.0,277.0,4855.0,793.0,739146.0,63807.0,11584014.0
Chile,17,53617,,544.0,,22504.0,30569.0,904.0,2808.0,28.0,409669.0,21451.0,19097583.0
Pakistan,18,48091,2193.0,1017.0,32.0,14155.0,32919.0,111.0,218.0,5.0,429600.0,1949.0,220380264.0
Netherlands,19,44447,,5748.0,,,,275.0,2595.0,336.0,302395.0,17652.0,17130699.0
Qatar,20,37097,,16.0,,6600.0,30481.0,172.0,12902.0,6.0,170437.0,59276.0,2875313.0
Ecuador,21,34854,,2888.0,,3557.0,28409.0,191.0,1979.0,164.0,100248.0,5692.0,17611696.0
Belarus,22,33371,945.0,185.0,6.0,12057.0,21129.0,92.0,3531.0,20.0,403236.0,42672.0,9449661.0
Sweden,23,31523,,3831.0,,4971.0,22721.0,352.0,3124.0,380.0,209900.0,20798.0,10092199.0
Switzerland,24,30658,,1892.0,,27800.0,966.0,55.0,3545.0,219.0,355393.0,41098.0,8647484.0
Singapore,25,29812,448.0,22.0,,11207.0,18583.0,11.0,5100.0,4.0,294414.0,50369.0,5845139.0
Portugal,26,29660,,1263.0,,6452.0,21945.0,93.0,2908.0,124.0,674000.0,66079.0,10199902.0
Bangladesh,27,28511,1773.0,408.0,22.0,5602.0,22501.0,1.0,173.0,2.0,214114.0,1302.0,164502000.0
UAE,28,26004,,233.0,,11809.0,13962.0,1.0,2633.0,24.0,1600923.0,162092.0,9876618.0
Ireland,29,24315,,1571.0,,21060.0,1684.0,54.0,4931.0,319.0,295626.0,59947.0,4931451.0
Indonesia,30,20162,973.0,1278.0,36.0,4838.0,14046.0,,74.0,5.0,219975.0,805.0,273192339.0
