"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
USA,435289,362.0,14818.0,30.0,22909.0,397562,9279.0,1315.0,45.0,2228202.0,6732.0
Spain,152446,4226.0,15238.0,446.0,52165.0,85043,7371.0,3261.0,326.0,355000.0,7593.0
Italy,139422,,17669.0,,26491.0,95262,3693.0,2306.0,292.0,807125.0,13349.0
Germany,113296,,2349.0,,46300.0,64647,4895.0,1352.0,28.0,1317887.0,15730.0
France,112950,,10869.0,,21254.0,80827,7148.0,1730.0,167.0,224254.0,3436.0
Iran,66220,1634.0,4110.0,117.0,32309.0,29801,3918.0,788.0,49.0,231393.0,2755.0
UK,60733,,7097.0,,135.0,53501,1559.0,895.0,105.0,282074.0,4155.0
Turkey,38226,,812.0,,1846.0,35568,1492.0,453.0,10.0,247768.0,2938.0
Belgium,24983,1580.0,2523.0,283.0,5164.0,17296,1285.0,2156.0,218.0,84248.0,7269.0
Switzerland,23612,332.0,926.0,31.0,9900.0,12786,391.0,2728.0,107.0,178500.0,20625.0
Netherlands,21762,1213.0,2396.0,148.0,250.0,19116,1424.0,1270.0,140.0,101534.0,5926.0
Canada,19438,,435.0,8.0,4653.0,14350,518.0,515.0,12.0,370315.0,9812.0
Brazil,16238,50.0,823.0,3.0,173.0,15242,296.0,76.0,4.0,54824.0,258.0
Portugal,13956,815.0,409.0,29.0,205.0,13342,241.0,1369.0,40.0,140368.0,13766.0
Austria,13138,196.0,295.0,22.0,5240.0,7603,266.0,1459.0,33.0,126287.0,14022.0
S. Korea,10423,39.0,204.0,4.0,6973.0,3246,55.0,203.0,4.0,477304.0,9310.0
Russia,10131,1459.0,76.0,13.0,698.0,9357,8.0,69.0,0.5,1004719.0,6885.0
Israel,9755,351.0,79.0,6.0,864.0,8812,165.0,1127.0,9.0,117339.0,13557.0
Sweden,9141,722.0,793.0,106.0,205.0,8143,719.0,905.0,79.0,54700.0,5416.0
India,6237,321.0,186.0,8.0,569.0,5482,,5.0,0.1,167235.0,121.0
Norway,6160,118.0,104.0,3.0,32.0,6024,78.0,1136.0,19.0,113896.0,21009.0
Australia,6104,52.0,51.0,1.0,2987.0,3066,81.0,239.0,2.0,330134.0,12946.0
Ireland,6074,,235.0,,25.0,5814,165.0,1230.0,48.0,42484.0,8604.0
Chile,5972,426.0,57.0,9.0,1274.0,4641,360.0,312.0,3.0,68353.0,3576.0
Denmark,5635,233.0,237.0,19.0,1736.0,3662,120.0,973.0,41.0,64002.0,11050.0
Poland,5341,136.0,164.0,5.0,284.0,4893,160.0,141.0,4.0,107597.0,2843.0
Czechia,5335,23.0,104.0,5.0,243.0,4988,96.0,498.0,10.0,106845.0,9977.0
Romania,5202,441.0,229.0,9.0,647.0,4326,178.0,270.0,12.0,51802.0,2693.0
Japan,4667,,94.0,,632.0,3941,99.0,37.0,0.7,61498.0,486.0
Pakistan,4457,194.0,63.0,2.0,572.0,3822,31.0,20.0,0.3,44896.0,203.0
Ecuador,4450,,242.0,,140.0,4068,146.0,252.0,14.0,14406.0,817.0
Peru,4342,,121.0,,1333.0,2888,113.0,132.0,4.0,39599.0,1201.0
Malaysia,4228,109.0,67.0,2.0,1608.0,2553,72.0,131.0,2.0,63367.0,1958.0
