"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1706226,,99805.0,,464670.0,1141751.0,17114.0,5158.0,302.0,15187647.0,45910.0,330811717
Brazil,2,376669,,23522.0,,153833.0,199314.0,8318.0,1773.0,111.0,735224.0,3461.0,212409786
Russia,3,362342,8915.0,3807.0,174.0,131129.0,227406.0,2300.0,2483.0,26.0,9160590.0,62775.0,145928485
Spain,4,282480,,26837.0,,196958.0,58685.0,854.0,6042.0,574.0,3556567.0,76071.0,46753049
UK,5,261184,,36914.0,,,,1559.0,3849.0,544.0,3532634.0,52065.0,67851047
Italy,6,230158,,32877.0,,141981.0,55300.0,541.0,3806.0,544.0,3482253.0,57586.0,60470230
France,7,182942,,28432.0,,65199.0,89311.0,1609.0,2803.0,436.0,1384633.0,21217.0,65259581
Germany,8,180808,19.0,8432.0,4.0,162000.0,10376.0,873.0,2159.0,101.0,3595059.0,42922.0,83757965
Turkey,9,157814,,4369.0,,120015.0,33430.0,756.0,1873.0,52.0,1853754.0,22004.0,84247422
India,10,146371,1421.0,4187.0,15.0,61151.0,81033.0,8944.0,106.0,3.0,3126119.0,2268.0,1378641054
Iran,11,137724,,7451.0,,107713.0,22560.0,2585.0,1642.0,89.0,818917.0,9763.0,83883203
Peru,12,123979,,3629.0,,50949.0,69401.0,909.0,3766.0,110.0,840922.0,25541.0,32924686
Canada,13,85711,,6545.0,,44638.0,34528.0,502.0,2273.0,174.0,1482468.0,39313.0,37709091
Saudi Arabia,14,74795,,399.0,,45668.0,28728.0,384.0,2152.0,11.0,722079.0,20775.0,34757706
Chile,15,73997,,761.0,,29302.0,43934.0,1135.0,3874.0,40.0,488041.0,25552.0,19099822
Mexico,16,71105,2485.0,7633.0,239.0,49890.0,13582.0,378.0,552.0,59.0,225650.0,1752.0,128796145
Pakistan,17,57705,1356.0,1197.0,30.0,18314.0,38194.0,111.0,262.0,5.0,490908.0,2227.0,220438956
Belgium,18,57455,113.0,9334.0,22.0,15320.0,32801.0,249.0,4960.0,806.0,795447.0,68664.0,11584702
Qatar,19,45465,,26.0,,10363.0,35076.0,202.0,15809.0,9.0,192484.0,66928.0,2875978
Netherlands,20,45445,,5830.0,,,,223.0,2653.0,340.0,324918.0,18966.0,17131215
Belarus,21,38059,915.0,208.0,4.0,15086.0,22765.0,92.0,4028.0,22.0,472906.0,50045.0,9449619
Ecuador,22,37355,,3203.0,,18003.0,16149.0,211.0,2121.0,182.0,106554.0,6049.0,17615358
Bangladesh,23,36751,1166.0,522.0,21.0,7579.0,28650.0,1.0,223.0,3.0,258550.0,1571.0,164524398
Sweden,24,33843,,4029.0,,4971.0,24843.0,304.0,3353.0,399.0,209900.0,20796.0,10093058
Singapore,25,32343,383.0,23.0,,15738.0,16582.0,8.0,5533.0,4.0,294414.0,50364.0,5845767
UAE,26,31086,779.0,253.0,5.0,15982.0,14851.0,1.0,3147.0,26.0,2072493.0,209804.0,9878250
Portugal,27,30788,,1330.0,,17822.0,11636.0,72.0,3019.0,130.0,689705.0,67621.0,10199497
Switzerland,28,30761,15.0,1913.0,,28200.0,648.0,41.0,3557.0,221.0,375115.0,43374.0,8648347
Ireland,29,24698,,1606.0,,21060.0,2032.0,54.0,5007.0,326.0,295626.0,59938.0,4932204
South Africa,30,23615,,481.0,,11917.0,11217.0,128.0,399.0,8.0,596777.0,10075.0,59232433
Indonesia,31,23165,415.0,1418.0,27.0,5877.0,15870.0,,85.0,5.0,264098.0,967.0,273231828
Kuwait,32,22575,608.0,172.0,7.0,7306.0,15097.0,196.0,5294.0,40.0,276207.0,64776.0,4264055
Colombia,33,21981,,750.0,,5265.0,15966.0,136.0,432.0,15.0,260812.0,5131.0,50828154
Poland,34,21867,236.0,1013.0,6.0,10020.0,10834.0,160.0,578.0,27.0,779576.0,20596.0,37850537
Ukraine,35,21584,339.0,644.0,21.0,7575.0,13365.0,259.0,493.0,15.0,301736.0,6896.0,43757987
Romania,36,18429,146.0,1210.0,5.0,11874.0,5345.0,181.0,957.0,63.0,385728.0,20038.0,19249480
Egypt,37,17967,,783.0,,4900.0,12284.0,41.0,176.0,8.0,135000.0,1322.0,102130974
Israel,38,16743,9.0,281.0,,14362.0,2100.0,43.0,1820.0,31.0,545761.0,59337.0,9197590
Japan,39,16581,,830.0,,13612.0,2139.0,165.0,131.0,7.0,435412.0,3442.0,126512743
Austria,40,16557,18.0,643.0,2.0,15182.0,732.0,32.0,1839.0,71.0,411185.0,45680.0,9001347
Dominican Republic,41,15073,,460.0,,8285.0,6328.0,123.0,1391.0,42.0,69608.0,6423.0,10836968
Philippines,42,14669,350.0,886.0,13.0,3412.0,10371.0,81.0,134.0,8.0,301677.0,2757.0,109431787
Argentina,43,12628,,467.0,,3999.0,8162.0,171.0,280.0,10.0,133468.0,2956.0,45154246
Afghanistan,44,11831,658.0,220.0,1.0,1128.0,10483.0,19.0,305.0,6.0,32870.0,846.0,38834157
Denmark,45,11387,,563.0,,9964.0,860.0,20.0,1967.0,97.0,546621.0,94404.0,5790221
S. Korea,46,11225,19.0,269.0,2.0,10275.0,681.0,15.0,219.0,5.0,839475.0,16375.0,51264961
Serbia,47,11193,,239.0,,5920.0,5034.0,12.0,1281.0,27.0,220344.0,25209.0,8740651
Panama,48,11183,,310.0,,6279.0,4594.0,72.0,2596.0,72.0,59339.0,13775.0,4307725
Bahrain,49,9171,,14.0,,4753.0,4404.0,8.0,5411.0,8.0,283884.0,167502.0,1694805
Czechia,50,9002,,317.0,,6182.0,2503.0,24.0,841.0,30.0,403358.0,37672.0,10707069
Kazakhstan,51,8969,438.0,35.0,,4515.0,4419.0,31.0,478.0,2.0,687249.0,36646.0,18753881
Algeria,52,8503,,609.0,,4747.0,3147.0,27.0,194.0,14.0,,,43767938
Norway,53,8364,,235.0,,7727.0,402.0,14.0,1544.0,43.0,234637.0,43315.0,5417027
Oman,54,8118,348.0,37.0,,2067.0,6014.0,31.0,1594.0,7.0,72000.0,14139.0,5092460
Nigeria,55,8068,,233.0,,2311.0,5524.0,7.0,39.0,1.0,44458.0,216.0,205584173
Malaysia,56,7604,187.0,115.0,,6041.0,1448.0,8.0,235.0,4.0,519944.0,16086.0,32323664
Morocco,57,7556,24.0,202.0,2.0,4841.0,2513.0,1.0,205.0,5.0,155579.0,4220.0,36866123
Armenia,58,7402,289.0,91.0,4.0,3220.0,4091.0,10.0,2498.0,31.0,52554.0,17738.0,2962710
Moldova,59,7147,,261.0,,3802.0,3084.0,286.0,1771.0,65.0,40565.0,10054.0,4034845
Australia,60,7126,8.0,102.0,,6552.0,472.0,5.0,280.0,4.0,1256041.0,49315.0,25469872
Ghana,61,6808,,32.0,,2070.0,4706.0,16.0,220.0,1.0,197194.0,6360.0,31003853
Bolivia,62,6660,397.0,261.0,11.0,647.0,5752.0,3.0,571.0,22.0,22294.0,1913.0,11656694
