"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1686436,,99300.0,,451702.0,1135434.0,17135.0,5098.0,300.0,14749756.0,44587.0,330806424
Brazil,2,365213,1595.0,22746.0,30.0,149911.0,192556.0,8318.0,1719.0,107.0,735224.0,3461.0,212405664
Russia,3,353427,8946.0,3633.0,92.0,118798.0,230996.0,2300.0,2422.0,25.0,8945384.0,61300.0,145928315
Spain,4,282852,,28752.0,,196958.0,57142.0,854.0,6050.0,615.0,3556567.0,76071.0,46752999
UK,5,259559,,36793.0,,,,1559.0,3825.0,542.0,3458905.0,50979.0,67850075
Italy,6,229858,,32785.0,,140479.0,56594.0,553.0,3801.0,542.0,3447012.0,57003.0,60470472
France,7,182584,,28367.0,,64617.0,89600.0,1655.0,2798.0,435.0,1384633.0,21217.0,65259187
Germany,8,180328,,8371.0,,161200.0,10757.0,889.0,2153.0,100.0,3595059.0,42922.0,83757235
Turkey,9,156827,,4340.0,,118694.0,33793.0,769.0,1862.0,52.0,1832262.0,21749.0,84244944
India,10,139911,1375.0,4039.0,15.0,57976.0,77896.0,8944.0,101.0,3.0,3033591.0,2200.0,1378604014
Iran,11,137724,2023.0,7451.0,34.0,107713.0,22560.0,2585.0,1642.0,89.0,818917.0,9763.0,83880266
Peru,12,119959,,3456.0,,49795.0,66708.0,920.0,3644.0,105.0,820967.0,24936.0,32923430
Canada,13,84699,,6424.0,,43985.0,34290.0,502.0,2246.0,170.0,1459288.0,38700.0,37708187
Saudi Arabia,14,72560,,390.0,,43520.0,28650.0,372.0,2088.0,11.0,703534.0,20242.0,34756224
Chile,15,69102,,718.0,,28148.0,40236.0,1090.0,3618.0,38.0,471758.0,24700.0,19099374
Mexico,16,68620,2764.0,7394.0,215.0,47424.0,13802.0,378.0,533.0,57.0,219164.0,1702.0,128792446
Belgium,17,57342,250.0,9312.0,32.0,15297.0,32733.0,251.0,4950.0,804.0,788110.0,68031.0,11584564
Pakistan,18,56349,1748.0,1167.0,34.0,17482.0,37700.0,111.0,256.0,5.0,483656.0,2194.0,220427217
Netherlands,19,45236,,5822.0,,,,223.0,2641.0,340.0,313755.0,18315.0,17131112
Qatar,20,43714,,23.0,,9170.0,34521.0,188.0,15200.0,8.0,188143.0,65422.0,2875845
Ecuador,21,36756,,3108.0,,3560.0,30088.0,208.0,2087.0,176.0,106079.0,6022.0,17614626
Belarus,22,36198,,199.0,,14155.0,21844.0,92.0,3831.0,21.0,450627.0,47687.0,9449627
Bangladesh,23,35585,1975.0,501.0,21.0,7334.0,27750.0,1.0,216.0,3.0,253034.0,1538.0,164519918
Sweden,24,33459,,3998.0,,4971.0,24490.0,249.0,3315.0,396.0,209900.0,20797.0,10092886
Singapore,25,31960,344.0,23.0,,14876.0,17061.0,8.0,5467.0,4.0,294414.0,50365.0,5845641
Switzerland,26,30736,,1906.0,,28100.0,730.0,50.0,3554.0,220.0,370464.0,42837.0,8648175
Portugal,27,30623,,1316.0,,17549.0,11758.0,78.0,3002.0,129.0,689705.0,67621.0,10199578
UAE,28,29485,,245.0,,15056.0,14184.0,1.0,2985.0,25.0,1600923.0,162071.0,9877923
Ireland,29,24639,,1608.0,,21060.0,1971.0,54.0,4996.0,326.0,295626.0,59940.0,4932053
Indonesia,30,22750,479.0,1391.0,19.0,5642.0,15717.0,,83.0,5.0,256946.0,940.0,273223931
South Africa,31,22583,,429.0,,11100.0,11054.0,128.0,381.0,7.0,583855.0,9857.0,59230390
Kuwait,32,21967,665.0,165.0,9.0,6621.0,15181.0,182.0,5152.0,39.0,273812.0,64217.0,4263883
Poland,33,21440,114.0,996.0,,9276.0,11168.0,160.0,566.0,26.0,767441.0,20276.0,37850650
Ukraine,34,21245,259.0,623.0,6.0,7234.0,13388.0,256.0,486.0,14.0,291868.0,6670.0,43758701
Colombia,35,21175,,727.0,,5016.0,15432.0,136.0,417.0,14.0,252742.0,4973.0,50826673
