"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
USA,1385850,16.0,81795.0,,262225.0,1041830,16484.0,4187.0,247.0,9619855.0,29063.0
Spain,268143,,26744.0,,177846.0,63553,1650.0,5735.0,572.0,2467761.0,52781.0
Russia,232243,10899.0,2116.0,107.0,43512.0,186615,2300.0,1591.0,14.0,5805404.0,39781.0
UK,223060,,32065.0,,,190651,1559.0,3286.0,472.0,1921770.0,28309.0
Italy,219814,,30739.0,,106587.0,82488,999.0,3636.0,508.0,2606652.0,43112.0
France,177423,,26643.0,,56724.0,94056,2712.0,2718.0,408.0,1384633.0,21213.0
Germany,172576,,7661.0,,147200.0,17715,1576.0,2060.0,91.0,2755770.0,32891.0
Brazil,169594,451.0,11653.0,28.0,67384.0,90557,8318.0,798.0,55.0,339552.0,1597.0
Turkey,139771,,3841.0,,95780.0,40150,1126.0,1657.0,46.0,1403320.0,16639.0
Iran,109286,,6685.0,,87422.0,15179,2703.0,1301.0,80.0,601324.0,7159.0
India,71339,571.0,2310.0,16.0,23033.0,45996,,52.0,2.0,1759579.0,1275.0
Canada,69981,,4993.0,,32994.0,31994,502.0,1854.0,132.0,1135984.0,30099.0
Peru,68822,,1961.0,,22406.0,44455,785.0,2087.0,59.0,512869.0,15555.0
Belgium,53779,330.0,8761.0,54.0,13732.0,31286,465.0,4640.0,756.0,595531.0,51385.0
Netherlands,42788,,5456.0,,,37082,498.0,2497.0,318.0,265156.0,15475.0
Saudi Arabia,41014,,255.0,,12737.0,28022,149.0,1178.0,7.0,482374.0,13856.0
Mexico,36327,1305.0,3573.0,108.0,23100.0,9654,378.0,282.0,28.0,135116.0,1048.0
Pakistan,32081,1140.0,706.0,39.0,8555.0,22820,111.0,145.0,3.0,305851.0,1385.0
Switzerland,30380,36.0,1845.0,,26800.0,1735,89.0,3510.0,213.0,316852.0,36611.0
Chile,30063,,323.0,,13605.0,16135,574.0,1573.0,17.0,294057.0,15383.0
Ecuador,29509,,2145.0,,3433.0,23931,181.0,1673.0,122.0,84287.0,4777.0
Portugal,27679,,1144.0,,2549.0,23986,112.0,2715.0,112.0,517660.0,50767.0
Sweden,26670,,3256.0,,4971.0,18443,360.0,2641.0,322.0,148500.0,14704.0
Singapore,24671,849.0,21.0,,3225.0,21425,24.0,4217.0,4.0,175604.0,30016.0
Belarus,23906,,135.0,,6531.0,17240,92.0,2530.0,14.0,274060.0,29003.0
Qatar,23623,,14.0,,2840.0,20769,72.0,8199.0,5.0,131044.0,45485.0
Ireland,23135,,1467.0,,17110.0,4558,72.0,4685.0,297.0,214761.0,43493.0
UAE,19661,783.0,203.0,2.0,6012.0,13446,1.0,1988.0,21.0,1200000.0,121330.0
Bangladesh,16660,969.0,250.0,11.0,3147.0,13263,1.0,101.0,2.0,136638.0,830.0
Poland,16561,235.0,827.0,16.0,6131.0,9603,160.0,438.0,22.0,491216.0,12979.0
Israel,16526,20.0,258.0,,11956.0,4312,67.0,1909.0,30.0,469800.0,54277.0
Ukraine,16023,375.0,425.0,17.0,3373.0,12225,211.0,366.0,10.0,187307.0,4283.0
Austria,15961,79.0,623.0,3.0,14148.0,1190,59.0,1772.0,69.0,329314.0,36564.0
Japan,15847,,633.0,,8293.0,6921,267.0,125.0,5.0,218204.0,1725.0
Romania,15778,190.0,991.0,9.0,7685.0,7102,238.0,820.0,52.0,269183.0,13992.0
Indonesia,14749,484.0,1007.0,16.0,3063.0,10679,,54.0,4.0,165128.0,604.0
Colombia,11613,,479.0,,2825.0,8309,130.0,228.0,9.0,151396.0,2975.0
Philippines,11350,264.0,751.0,25.0,2106.0,8493,31.0,104.0,7.0,181668.0,1658.0
S. Korea,10936,27.0,258.0,2.0,9670.0,1008,55.0,213.0,5.0,680890.0,13281.0
South Africa,10652,,206.0,,4357.0,6089,77.0,180.0,3.0,356067.0,6004.0
Dominican Republic,10634,,393.0,,2870.0,7371,134.0,980.0,36.0,42615.0,3928.0
Denmark,10591,78.0,533.0,,8328.0,1730,43.0,1828.0,92.0,334260.0,57709.0
Serbia,10176,,218.0,,3290.0,6668,29.0,1165.0,25.0,145604.0,16665.0
Egypt,9746,,533.0,,2172.0,7041,41.0,95.0,5.0,90000.0,879.0
Kuwait,9286,,65.0,,2907.0,6314,131.0,2174.0,15.0,196397.0,45988.0
Panama,8616,168.0,249.0,5.0,4687.0,3680,87.0,1997.0,58.0,43663.0,10119.0
Czechia,8177,1.0,283.0,1.0,4738.0,3156,42.0,764.0,26.0,314138.0,29334.0
Norway,8132,,224.0,,32.0,7876,22.0,1500.0,41.0,202751.0,37399.0
Australia,6970,22.0,97.0,,6213.0,660,16.0,273.0,4.0,863050.0,33845.0
Malaysia,6742,16.0,109.0,,5223.0,1410,16.0,208.0,3.0,271721.0,8395.0
Morocco,6281,,188.0,,2811.0,3282,1.0,170.0,5.0,68980.0,1869.0
Argentina,6278,,314.0,,1837.0,4127,148.0,139.0,7.0,85158.0,1884.0
Finland,5984,,271.0,,4000.0,1713,44.0,1080.0,49.0,123300.0,22253.0
Algeria,5891,,507.0,,2841.0,2543,22.0,134.0,12.0,6500.0,148.0
Kazakhstan,5279,72.0,32.0,,2108.0,3139,33.0,281.0,2.0,408713.0,21767.0
Bahrain,5236,,8.0,,2152.0,3076,6.0,3077.0,5.0,190780.0,112120.0
Moldova,4995,,175.0,,1980.0,2840,251.0,1238.0,43.0,20447.0,5069.0
Ghana,4700,,22.0,,494.0,4184,5.0,151.0,0.7,160501.0,5165.0
Afghanistan,4687,,122.0,,558.0,4007,7.0,120.0,3.0,15560.0,400.0
Nigeria,4641,,150.0,,902.0,3589,4.0,23.0,0.7,27078.0,131.0
Luxembourg,3888,,101.0,,3602.0,185,18.0,6211.0,161.0,55415.0,88525.0
Oman,3721,148.0,17.0,,1250.0,2454,27.0,729.0,3.0,50000.0,9791.0
Armenia,3538,146.0,47.0,1.0,1430.0,2061,10.0,1194.0,16.0,33313.0,11242.0
Hungary,3313,29.0,425.0,4.0,1007.0,1881,45.0,343.0,44.0,114719.0,11875.0
Thailand,3017,2.0,56.0,,2798.0,163,61.0,43.0,0.8,227860.0,3264.0
