"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1725808,533.0,100625.0,53.0,479973.0,1145210.0,17158.0,5217.0,304.0,15535188.0,46960.0,330817010
Brazil,2,394507,2147.0,24593.0,44.0,158593.0,211321.0,8318.0,1857.0,116.0,871839.0,4104.0,212413908
Russia,3,370680,8338.0,3968.0,161.0,142208.0,224504.0,2300.0,2540.0,27.0,9415992.0,64525.0,145928655
Spain,4,283339,,27117.0,,196958.0,59264.0,854.0,6060.0,580.0,3556567.0,76071.0,46753098
UK,5,265227,,37048.0,,,,1559.0,3909.0,546.0,3681295.0,54255.0,67852019
Italy,6,230555,,32955.0,,144658.0,52942.0,521.0,3813.0,545.0,3539927.0,58540.0,60469988
France,7,182722,,28530.0,,65879.0,88313.0,1555.0,2800.0,437.0,1384633.0,21217.0,65259974
Germany,8,181288,,8498.0,,162800.0,9990.0,821.0,2164.0,101.0,3595059.0,42922.0,83758696
Turkey,9,158762,,4397.0,,121507.0,32858.0,739.0,1884.0,52.0,1873607.0,22239.0,84249900
India,10,153230,2437.0,4365.0,21.0,64729.0,84136.0,8944.0,111.0,3.0,3242160.0,2352.0,1378678095
Iran,11,141591,2080.0,7564.0,56.0,111176.0,22851.0,2551.0,1688.0,90.0,856546.0,10211.0,83886140
Peru,12,129751,,3788.0,,52906.0,73057.0,923.0,3941.0,115.0,875721.0,26597.0,32925941
Canada,13,86647,,6639.0,,45339.0,34669.0,502.0,2298.0,176.0,1502990.0,39857.0,37709994
Chile,14,77961,,806.0,,30915.0,46240.0,1202.0,4082.0,42.0,501125.0,26237.0,19100270
Saudi Arabia,15,76726,,411.0,,48450.0,27865.0,384.0,2207.0,12.0,738743.0,21253.0,34759189
Mexico,16,74560,3455.0,8134.0,501.0,52219.0,14207.0,378.0,579.0,63.0,235129.0,1826.0,128799843
Pakistan,17,59151,1446.0,1225.0,28.0,19142.0,38784.0,111.0,268.0,6.0,499399.0,2265.0,220450694
Belgium,18,57592,137.0,9364.0,30.0,15465.0,32763.0,220.0,4971.0,808.0,804890.0,69478.0,11584839
Qatar,19,47207,,28.0,,11844.0,35335.0,205.0,16413.0,10.0,196411.0,68290.0,2876111
Netherlands,20,45578,,5856.0,,,,188.0,2661.0,342.0,324918.0,18966.0,17131319
Belarus,21,38956,897.0,214.0,6.0,15923.0,22819.0,92.0,4122.0,23.0,485534.0,51381.0,9449610
Bangladesh,22,38292,1541.0,544.0,22.0,7925.0,29823.0,1.0,233.0,3.0,266456.0,1620.0,164528877
Ecuador,23,37355,,3203.0,,18003.0,16149.0,211.0,2121.0,182.0,106554.0,6049.0,17616090
Sweden,24,34440,,4125.0,,4971.0,25344.0,304.0,3412.0,409.0,238800.0,23659.0,10093230
Singapore,25,32876,533.0,23.0,,16444.0,16409.0,8.0,5624.0,4.0,334691.0,57252.0,5845893
UAE,26,31086,,253.0,,15982.0,14851.0,1.0,3147.0,26.0,2072493.0,209797.0,9878576
Portugal,27,31007,,1342.0,,18096.0,11569.0,71.0,3040.0,132.0,689705.0,67622.0,10199416
Switzerland,28,30776,15.0,1917.0,2.0,28200.0,659.0,42.0,3559.0,222.0,380671.0,44016.0,8648520
Ireland,29,24735,,1615.0,,21060.0,2060.0,54.0,5015.0,327.0,325795.0,66053.0,4932355
South Africa,30,24264,,524.0,,12741.0,10999.0,128.0,410.0,9.0,605991.0,10230.0,59234476
Indonesia,31,23851,686.0,1473.0,55.0,6057.0,16321.0,,87.0,5.0,278411.0,1019.0,273239726
Kuwait,32,23267,692.0,175.0,3.0,7946.0,15146.0,193.0,5456.0,41.0,278945.0,65415.0,4264228
Colombia,33,23003,,776.0,,5511.0,16716.0,136.0,453.0,15.0,271118.0,5334.0,50829634
Poland,34,22303,229.0,1025.0,1.0,10330.0,10948.0,160.0,589.0,27.0,801753.0,21182.0,37850425
Ukraine,35,21905,321.0,658.0,14.0,7995.0,13252.0,259.0,501.0,15.0,312532.0,7142.0,43757273
Egypt,36,18756,,797.0,,5027.0,12932.0,41.0,184.0,8.0,135000.0,1322.0,102136256
Romania,37,18594,165.0,1219.0,3.0,12162.0,5213.0,198.0,966.0,63.0,397563.0,20654.0,19249131
Israel,38,16771,14.0,281.0,,14486.0,2004.0,39.0,1823.0,31.0,552471.0,60067.0,9197590
Japan,39,16623,,846.0,,13810.0,1967.0,155.0,131.0,7.0,276170.0,2183.0,126511690
Austria,40,16557,,643.0,,15182.0,732.0,32.0,1839.0,71.0,418706.0,46515.0,9001487
Dominican Republic,41,15264,,468.0,,8534.0,6262.0,123.0,1408.0,43.0,70972.0,6549.0,10837265
Philippines,42,15049,380.0,904.0,18.0,3506.0,10639.0,81.0,138.0,8.0,315363.0,2882.0,109435773
Argentina,43,13228,,484.0,,4167.0,8577.0,171.0,293.0,11.0,136662.0,3026.0,45155378
Afghanistan,44,12456,625.0,227.0,7.0,1138.0,11091.0,19.0,321.0,6.0,33864.0,872.0,38836559
Panama,45,11447,,313.0,,6379.0,4755.0,72.0,2657.0,73.0,60598.0,14067.0,4307910
Denmark,46,11428,,563.0,,10044.0,821.0,23.0,1974.0,97.0,559454.0,96620.0,5790276
S. Korea,47,11265,40.0,269.0,,10295.0,701.0,15.0,220.0,5.0,852876.0,16637.0,51265081
Serbia,48,11227,,239.0,,6067.0,4921.0,11.0,1284.0,27.0,223771.0,25601.0,8740556
Bahrain,49,9366,,15.0,1.0,4938.0,4413.0,8.0,5526.0,9.0,286223.0,168866.0,1694967
Kazakhstan,50,9304,335.0,37.0,,4613.0,4654.0,58.0,496.0,2.0,710352.0,37876.0,18754495
Czechia,51,9052,2.0,317.0,,6279.0,2456.0,18.0,845.0,30.0,417422.0,38985.0,10707123
Algeria,52,8697,,617.0,,4918.0,3162.0,27.0,199.0,14.0,,,43770104
Norway,53,8383,,235.0,,7727.0,421.0,11.0,1547.0,43.0,236666.0,43688.0,5417143
Oman,54,8373,255.0,38.0,1.0,2177.0,6158.0,31.0,1644.0,7.0,72000.0,14138.0,5092816
Nigeria,55,8344,,249.0,,2385.0,5710.0,7.0,41.0,1.0,44458.0,216.0,205598175
Armenia,56,7774,372.0,98.0,7.0,3255.0,4421.0,10.0,2624.0,33.0,53678.0,18118.0,2962725
Malaysia,57,7619,15.0,115.0,,6083.0,1421.0,8.0,236.0,4.0,519944.0,16085.0,32324797
Morocco,58,7584,7.0,202.0,,4969.0,2413.0,1.0,206.0,5.0,163375.0,4431.0,36867318
Moldova,59,7305,,267.0,,3884.0,3154.0,256.0,1810.0,66.0,40565.0,10054.0,4034820
Australia,60,7139,6.0,103.0,1.0,6560.0,476.0,5.0,280.0,4.0,1301269.0,51089.0,25470681
Bolivia,61,7136,476.0,274.0,13.0,677.0,6185.0,3.0,612.0,24.0,22294.0,1912.0,11657129
Ghana,62,7117,,34.0,,2317.0,4766.0,16.0,230.0,1.0,203383.0,6560.0,31005629
Finland,63,6692,64.0,312.0,,5100.0,1280.0,11.0,1208.0,56.0,173313.0,31284.0,5539916
Cameroon,64,5436,,175.0,,1996.0,3265.0,28.0,205.0,7.0,,,26475800
Iraq,65,4848,,169.0,,2852.0,1827.0,34.0,121.0,4.0,199367.0,4968.0,40128037
Azerbaijan,66,4403,,52.0,,2819.0,1532.0,42.0,435.0,5.0,273411.0,26989.0,10130283
Honduras,67,4401,212.0,188.0,6.0,493.0,3720.0,13.0,445.0,19.0,14790.0,1496.0,9888691
Sudan,68,4146,170.0,184.0,14.0,588.0,3374.0,,95.0,4.0,401.0,9.0,43741597
Luxembourg,69,3995,,110.0,,3783.0,102.0,5.0,6393.0,176.0,68829.0,110136.0,624947
Guatemala,70,3954,194.0,63.0,4.0,289.0,3602.0,5.0,221.0,4.0,31427.0,1758.0,17881612
Hungary,71,3793,22.0,505.0,6.0,1856.0,1432.0,25.0,393.0,52.0,169960.0,17589.0,9662589
Uzbekistan,72,3333,43.0,14.0,,2636.0,683.0,4.0,100.0,0.4,460000.0,13764.0,33420567
Guinea,73,3275,,20.0,,1673.0,1582.0,24.0,250.0,2.0,14407.0,1100.0,13094574
Tajikistan,74,3266,,47.0,,1417.0,1802.0,,343.0,5.0,,,9515224
Senegal,75,3253,92.0,38.0,2.0,1586.0,1629.0,18.0,195.0,2.0,37547.0,2249.0,16696778
Thailand,76,3054,9.0,57.0,,2931.0,66.0,59.0,44.0,0.8,375453.0,5380.0,69783536
Greece,77,2892,,173.0,,1374.0,1345.0,18.0,277.0,17.0,160991.0,15439.0,10427639
