"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
Estonia,86,1821,14.0,64.0,,1526.0,231.0,2.0,1373.0,48.0,75249.0,56730.0,1326442
El Salvador,87,1819,94.0,33.0,,570.0,1216.0,25.0,281.0,5.0,70225.0,10833.0,6482732
Iceland,88,1803,,10.0,,1791.0,2.0,,5287.0,29.0,58225.0,170745.0,341006
Gabon,89,1728,,12.0,,402.0,1314.0,6.0,779.0,5.0,8622.0,3884.0,2219628
Lithuania,90,1616,12.0,63.0,2.0,1135.0,418.0,17.0,593.0,23.0,264882.0,97171.0,2725949
Somalia,91,1594,,61.0,,204.0,1329.0,2.0,101.0,4.0,,,15840585
Mayotte,92,1521,,19.0,,894.0,608.0,11.0,5591.0,70.0,5200.0,19114.0,272048
Slovakia,93,1504,1.0,28.0,,1280.0,196.0,1.0,275.0,5.0,156765.0,28715.0,5459368
New Zealand,94,1504,,21.0,,1455.0,28.0,1.0,312.0,4.0,255850.0,53103.0,4818013
Slovenia,95,1468,,106.0,,1340.0,22.0,3.0,706.0,51.0,75110.0,36130.0,2078908
Kyrgyzstan,96,1365,15.0,14.0,,957.0,394.0,5.0,210.0,2.0,98281.0,15092.0,6512107
Maldives,97,1274,,4.0,,109.0,1161.0,9.0,2362.0,7.0,11775.0,21827.0,539469
Kenya,98,1192,31.0,50.0,,380.0,762.0,1.0,22.0,0.9,55074.0,1027.0,53634644
Guinea-Bissau,99,1114,,6.0,,42.0,1066.0,,568.0,3.0,1500.0,764.0,1962592
Lebanon,100,1086,,26.0,,663.0,397.0,4.0,159.0,4.0,69610.0,10194.0,6828536
Sri Lanka,101,1068,,9.0,,660.0,399.0,1.0,50.0,0.4,51094.0,2387.0,21403762
Hong Kong,102,1066,,4.0,,1029.0,33.0,1.0,142.0,0.5,202930.0,27092.0,7490427
Tunisia,103,1048,,47.0,,903.0,98.0,3.0,89.0,4.0,46628.0,3950.0,11805138
Latvia,104,1046,16.0,22.0,,712.0,312.0,2.0,554.0,12.0,97846.0,51819.0,1888237
Albania,105,989,8.0,31.0,,783.0,175.0,5.0,344.0,11.0,13133.0,4563.0,2878120
Mali,106,969,,62.0,,560.0,347.0,,48.0,3.0,3483.0,173.0,20181288
Equatorial Guinea,107,960,,11.0,,165.0,784.0,,687.0,8.0,854.0,611.0,1397381
Venezuela,108,944,,10.0,,262.0,672.0,2.0,33.0,0.4,735426.0,25855.0,28444157
Niger,109,937,,60.0,,764.0,113.0,,39.0,2.0,5971.0,248.0,24098369
Cyprus,110,927,,17.0,,561.0,349.0,10.0,768.0,14.0,95349.0,79035.0,1206416
Zambia,111,920,,7.0,,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,18322805
Costa Rica,112,911,,10.0,,600.0,301.0,4.0,179.0,2.0,22554.0,4432.0,5089080
Paraguay,113,838,,11.0,,264.0,563.0,,118.0,2.0,21987.0,3087.0,7122901
Burkina Faso,114,814,,52.0,,672.0,90.0,,39.0,2.0,,,20835388
Haiti,115,812,78.0,25.0,,22.0,765.0,,71.0,2.0,2582.0,227.0,11387245
Andorra,116,762,,51.0,,652.0,59.0,3.0,9864.0,660.0,3750.0,48542.0,77252
Uruguay,117,753,,20.0,,603.0,130.0,5.0,217.0,6.0,37178.0,10707.0,3472463
Georgia,118,728,5.0,12.0,,509.0,207.0,6.0,182.0,3.0,45707.0,11456.0,3989952
Diamond Princess,119,712,,13.0,,651.0,48.0,4.0,,,,,0
Jordan,120,700,,9.0,,461.0,230.0,5.0,69.0,0.9,159320.0,15632.0,10192121
San Marino,121,661,,41.0,,254.0,366.0,1.0,19485.0,1209.0,3873.0,114167.0,33924
Chad,122,611,,58.0,,196.0,357.0,,37.0,4.0,,,16369695
Sierra Leone,123,606,,38.0,,230.0,338.0,,76.0,5.0,,,7958421
Malta,124,600,,6.0,,469.0,125.0,1.0,1359.0,14.0,57784.0,130905.0,441420
South Sudan,125,563,,6.0,,6.0,551.0,,50.0,0.5,3356.0,300.0,11179329
Channel Islands,126,558,,45.0,,508.0,5.0,,3213.0,259.0,5342.0,30756.0,173689
