Country,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05,2020/05/20 10:33:11,2020/05/21 10:33:38,2020/05/22 10:33:43,2020/05/23 10:34:25,2020/05/24 10:34:25,2020/05/25 10:34:32
Belgium,70000.0,70000.0,80512.0,80512.0,80512.0,80512.0,80512.0,80512.0,84248.0,84248.0,84248.0,102151.0,102151.0,128132.0,134303.0,145997.0,153778.0,153778.0,167110.0,171400.0,171400.0,179666.0,189067.0,189067.0,197747.0,214042.0,226724.0,237963.0,253198.0,260996.0,266752.0,440700.0,456194.0,474176.0,493325.0,515233.0,540643.0,566101.0,584707.0,595531.0,605237.0,623628.0,645314.0,663755.0,682980.0,696840.0,709818.0,720228.0,739146.0,757328.0,768706.0,781284.0,788110.0
Netherlands,75415.0,75415.0,86589.0,86589.0,86589.0,86589.0,86589.0,86589.0,101534.0,101534.0,101534.0,101534.0,101534.0,140845.0,147948.0,154911.0,154911.0,154911.0,171415.0,171415.0,171415.0,187000.0,187000.0,193950.0,193950.0,193950.0,209726.0,213372.0,219744.0,225899.0,225899.0,225899.0,235909.0,235909.0,243277.0,249655.0,249655.0,249655.0,254573.0,265156.0,270351.0,275720.0,282776.0,287943.0,287943.0,287943.0,297347.0,302395.0,302395.0,302395.0,313755.0,313755.0,313755.0
Canada,330901.0,330901.0,330901.0,346507.0,348105.0,348105.0,348105.0,348105.0,370315.0,370315.0,370315.0,383322.0,401552.0,467736.0,487625.0,507701.0,516216.0,549349.0,559578.0,569878.0,612192.0,634917.0,660108.0,684271.0,707508.0,733705.0,754800.0,779613.0,806449.0,832222.0,832222.0,897444.0,919368.0,940567.0,973558.0,1005294.0,1032088.0,1068000.0,1135984.0,1135984.0,1145683.0,1169380.0,1169380.0,1225049.0,1265502.0,1300729.0,1323371.0,1339971.0,1375126.0,1379731.0,1405208.0,1431911.0,1459288.0
Austria,111296.0,111296.0,115235.0,115235.0,120755.0,120755.0,120755.0,120755.0,126287.0,134743.0,134743.0,140975.0,144877.0,156801.0,162816.0,169272.0,179243.0,182949.0,189018.0,201794.0,205835.0,205835.0,221098.0,227631.0,232537.0,232537.0,239578.0,256399.0,256399.0,269619.0,274355.0,279071.0,285883.0,292254.0,292254.0,304069.0,311690.0,316508.0,319484.0,329314.0,336252.0,344606.0,351351.0,351351.0,362509.0,366069.0,372435.0,379592.0,385637.0,390488.0,396363.0,401857.0,405341.0
Portugal,91794.0,91794.0,121256.0,121256.0,121256.0,121256.0,121256.0,121256.0,140368.0,140368.0,144000.0,140863.0,162798.0,208314.0,221049.0,234207.0,235878.0,235878.0,235878.0,281907.0,284741.0,300525.0,315758.0,330512.0,330512.0,360155.0,379551.0,379551.0,395771.0,409961.0,426836.0,426836.0,450000.0,469435.0,470234.0,485925.0,501718.0,517660.0,517660.0,517660.0,566172.0,566172.0,582341.0,600061.0,600061.0,618066.0,652497.0,662375.0,674000.0,689705.0,689705.0,689705.0,689705.0
Brazil,54824.0,54824.0,54824.0,54824.0,54824.0,54824.0,54824.0,54824.0,54824.0,62985.0,62985.0,62985.0,62985.0,62985.0,62985.0,62985.0,62985.0,62985.0,291922.0,291922.0,291922.0,291922.0,291922.0,291922.0,291922.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,339552.0,735224.0,735224.0,735224.0,735224.0,735224.0,735224.0,735224.0,735224.0,735224.0,735224.0,735224.0,735224.0,735224.0
S. Korea,461233.0,461233.0,461233.0,477304.0,477304.0,477304.0,477304.0,477304.0,477304.0,503051.0,503051.0,510479.0,514621.0,538775.0,546463.0,546463.0,559109.0,563035.0,571014.0,577959.0,583971.0,589520.0,595161.0,598285.0,601660.0,608514.0,614197.0,619881.0,623069.0,623069.0,630973.0,633921.0,640237.0,643095.0,649388.0,654863.0,660030.0,663886.0,668492.0,680890.0,695920.0,711484.0,726747.0,741145.0,747653.0,753211.0,765574.0,776433.0,788684.0,802418.0,814420.0,820289.0,826437.0
Israel,109724.0,109724.0,109724.0,117339.0,117339.0,117339.0,117339.0,117339.0,117339.0,117339.0,117339.0,117339.0,117339.0,187250.0,187250.0,187250.0,187250.0,240303.0,240303.0,240303.0,240303.0,240303.0,302691.0,302691.0,302691.0,302691.0,313135.0,364467.0,364467.0,364467.0,397046.0,397046.0,414349.0,417100.0,432453.0,442925.0,451028.0,455267.0,461704.0,469800.0,477151.0,485922.0,485922.0,498711.0,498711.0,505702.0,505702.0,512452.0,524584.0,531124.0,536306.0,537489.0,541322.0
Sweden,36900.0,36900.0,54700.0,54700.0,54700.0,54700.0,54700.0,54700.0,54700.0,54700.0,54700.0,54700.0,54700.0,74600.0,74600.0,74600.0,74600.0,74600.0,74600.0,94500.0,94500.0,94500.0,94500.0,94500.0,94500.0,94500.0,119500.0,119500.0,119500.0,119500.0,119500.0,119500.0,119500.0,148500.0,148500.0,148500.0,148500.0,148500.0,148500.0,148500.0,177500.0,177500.0,177500.0,177500.0,177500.0,177500.0,177500.0,209900.0,209900.0,209900.0,209900.0,209900.0,209900.0
Russia,758000.0,758000.0,795000.0,795000.0,910221.0,910221.0,910221.0,910221.0,1004719.0,1090000.0,1090000.0,1184442.0,1200000.0,1613413.0,1718019.0,1810000.0,1940000.0,2050000.0,2142604.0,2250000.0,2401616.0,2550000.0,2721500.0,2877699.0,3019434.0,3139258.0,3303717.0,3490000.0,3700000.0,3945518.0,4100000.0,4300000.0,4460357.0,4633731.0,4803192.0,4980000.0,5221964.0,5448463.0,5636763.0,5805404.0,5982558.0,6188102.0,6413948.0,6656340.0,6916088.0,7147014.0,7352316.0,7500000.0,7840880.0,8126626.0,8402747.0,8600000.0,8945384.0
