Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05,2020/05/20 10:33:11,2020/05/21 10:33:38,2020/05/22 10:33:43,2020/05/23 10:34:25,2020/05/24 10:34:25,2020/05/25 10:34:32
Mali,17.0,41.0,41.0,33.0,39.0,39.0,39.0,39.0,39.0,36.0,45.0,58.0,58.0,58.0,101.0,124.0,143.0,162.0,168.0,176.0,187.0,203.0,211.0,217.0,258.0,254.0,272.0,278.0,328.0,329.0,286.0,312.0,323.0,328.0,352.0,338.0,347.0,348.0,357.0,315.0,296.0,292.0,302.0,297.0,305.0,308.0,314.0,310.0,319.0,333.0,329.0,347.0,378.0,368.0
Niger,17.0,161.0,161.0,217.0,217.0,241.0,241.0,241.0,241.0,303.0,359.0,359.0,386.0,439.0,480.0,489.0,499.0,507.0,511.0,511.0,510.0,447.0,391.0,368.0,332.0,317.0,287.0,275.0,246.0,235.0,217.0,194.0,196.0,184.0,182.0,171.0,153.0,151.0,153.0,151.0,149.0,159.0,153.0,149.0,150.0,149.0,152.0,140.0,125.0,124.0,111.0,113.0,107.0,101.0
Djibouti,18.0,50.0,50.0,81.0,81.0,81.0,81.0,103.0,103.0,110.0,111.0,113.0,113.0,149.0,362.0,516.0,654.0,654.0,742.0,742.0,831.0,789.0,732.0,667.0,633.0,610.0,556.0,572.0,476.0,445.0,423.0,424.0,424.0,401.0,373.0,366.0,331.0,308.0,352.0,360.0,352.0,367.0,365.0,376.0,370.0,377.0,425.0,493.0,578.0,767.0,982.0,1196.0,1196.0,1196.0
Maldives,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,9.0,16.0,35.0,36.0,66.0,70.0,70.0,100.0,113.0,160.0,197.0,209.0,233.0,262.0,450.0,473.0,500.0,508.0,539.0,551.0,595.0,625.0,721.0,758.0,803.0,865.0,872.0,911.0,933.0,978.0,1016.0,1032.0,1022.0,1048.0,1091.0,1121.0,1161.0,1181.0,1223.0
Guinea,16.0,116.0,116.0,123.0,123.0,139.0,139.0,139.0,139.0,159.0,183.0,183.0,197.0,233.0,372.0,388.0,415.0,450.0,487.0,495.0,555.0,591.0,686.0,757.0,781.0,781.0,910.0,964.0,1031.0,1159.0,1188.0,1174.0,1174.0,1251.0,1303.0,1248.0,1287.0,1335.0,1333.0,1421.0,1421.0,1471.0,1504.0,1563.0,1422.0,1509.0,1509.0,1517.0,1320.0,1320.0,1474.0,1473.0,1525.0,1582.0
Haiti,14.0,19.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,28.0,28.0,28.0,29.0,31.0,38.0,40.0,40.0,41.0,44.0,54.0,52.0,56.0,65.0,60.0,60.0,61.0,62.0,62.0,61.0,65.0,67.0,67.0,69.0,79.0,79.0,81.0,101.0,117.0,122.0,150.0,176.0,184.0,199.0,235.0,261.0,309.0,415.0,491.0,553.0,553.0,688.0,765.0,817.0,909.0
New Caledonia,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,13.0,20.0,20.0,23.0,23.0,25.0,25.0,25.0,25.0,28.0,28.0,28.0,29.0,33.0,39.0,39.0,36.0,36.0,40.0,40.0,44.0,44.0,47.0,47.0,52.0,47.0,47.0,46.0,44.0,45.0,47.0,48.0,48.0,47.0,52.0,55.0,55.0,50.0,44.0,44.0,43.0,43.0,42.0,44.0,44.0,43.0,43.0,42.0,42.0,43.0,42.0,42.0,44.0,43.0
Tanzania,13.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,24.0,24.0,24.0,73.0,79.0,131.0,131.0,152.0,233.0,263.0,263.0,263.0,241.0,241.0,241.0,241.0,248.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0
Cayman Islands,11.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,46.0,53.0,53.0,53.0,53.0,53.0,58.0,58.0,58.0,58.0,61.0,61.0,61.0,59.0,59.0,62.0,62.0,63.0,63.0,63.0,60.0,47.0,47.0,44.0,39.0,39.0,39.0,36.0,34.0,31.0,38.0,38.0,38.0,38.0,38.0,55.0,55.0,65.0,67.0,67.0,67.0
