Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05
S. Korea,152.0,186.0,186.0,192.0,192.0,200.0,200.0,200.0,200.0,204.0,208.0,208.0,211.0,214.0,229.0,230.0,232.0,234.0,236.0,237.0,238.0,240.0,240.0,240.0,242.0,243.0,244.0,246.0,247.0,248.0,250.0,250.0,252.0,254.0,255.0,256.0,256.0,256.0,256.0,256.0,258.0,259.0,260.0,260.0,262.0,262.0,263.0,263.0
Turkey,131.0,574.0,649.0,649.0,725.0,725.0,725.0,725.0,725.0,812.0,908.0,908.0,1006.0,1101.0,1518.0,1643.0,1769.0,1890.0,2017.0,2140.0,2259.0,2376.0,2491.0,2600.0,2706.0,2805.0,2900.0,2992.0,3081.0,3174.0,3258.0,3336.0,3397.0,3461.0,3520.0,3584.0,3641.0,3689.0,3739.0,3786.0,3841.0,3894.0,3952.0,4007.0,4055.0,4096.0,4140.0,4171.0
Austria,86.0,220.0,220.0,243.0,243.0,273.0,273.0,273.0,273.0,295.0,319.0,319.0,337.0,350.0,393.0,410.0,431.0,443.0,470.0,491.0,510.0,522.0,522.0,536.0,542.0,549.0,569.0,569.0,584.0,589.0,589.0,598.0,598.0,606.0,608.0,609.0,614.0,615.0,618.0,618.0,623.0,624.0,626.0,628.0,629.0,629.0,629.0,632.0
Canada,65.0,280.0,321.0,323.0,375.0,381.0,381.0,381.0,381.0,435.0,509.0,509.0,569.0,653.0,1010.0,1195.0,1310.0,1470.0,1587.0,1690.0,1834.0,1974.0,2147.0,2302.0,2465.0,2560.0,2707.0,2859.0,2996.0,3184.0,3391.0,3566.0,3682.0,3854.0,4043.0,4232.0,4408.0,4569.0,4693.0,4870.0,4993.0,5169.0,5302.0,5472.0,5562.0,5679.0,5782.0,5842.0
Portugal,119.0,311.0,311.0,345.0,345.0,345.0,345.0,345.0,345.0,409.0,409.0,435.0,435.0,470.0,599.0,629.0,657.0,687.0,714.0,735.0,762.0,785.0,820.0,854.0,880.0,903.0,928.0,948.0,973.0,989.0,1007.0,1023.0,1043.0,1063.0,1074.0,1089.0,1105.0,1114.0,1126.0,1135.0,1144.0,1163.0,1175.0,1184.0,1190.0,1203.0,1218.0,1231.0
Norway,25.0,74.0,76.0,83.0,89.0,89.0,89.0,89.0,89.0,104.0,108.0,108.0,113.0,119.0,150.0,157.0,162.0,164.0,165.0,181.0,182.0,189.0,194.0,199.0,201.0,202.0,206.0,206.0,207.0,210.0,210.0,211.0,213.0,214.0,215.0,216.0,217.0,218.0,219.0,219.0,224.0,228.0,229.0,232.0,232.0,232.0,232.0,233.0
Brazil,136.0,495.0,513.0,566.0,586.0,688.0,688.0,688.0,688.0,823.0,957.0,957.0,1074.0,1141.0,1760.0,1952.0,2171.0,2372.0,2462.0,2588.0,2761.0,2924.0,3331.0,3704.0,4057.0,4286.0,4603.0,5083.0,5513.0,6006.0,6412.0,6761.0,7051.0,7367.0,7958.0,8588.0,9190.0,10017.0,10656.0,11123.0,11653.0,12461.0,13240.0,13999.0,14962.0,15662.0,16122.0,16853.0
Israel,15.0,56.0,57.0,60.0,65.0,71.0,71.0,71.0,71.0,79.0,92.0,95.0,95.0,103.0,140.0,148.0,158.0,171.0,173.0,181.0,187.0,191.0,193.0,198.0,199.0,202.0,208.0,212.0,219.0,223.0,227.0,230.0,234.0,237.0,238.0,239.0,245.0,245.0,248.0,254.0,258.0,262.0,264.0,266.0,267.0,271.0,272.0,277.0
Australia,17.0,41.0,41.0,48.0,48.0,50.0,50.0,50.0,50.0,51.0,53.0,53.0,56.0,59.0,63.0,65.0,69.0,70.0,71.0,71.0,74.0,75.0,79.0,80.0,83.0,83.0,84.0,88.0,91.0,93.0,93.0,95.0,95.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,100.0
Sweden,110.0,477.0,477.0,591.0,591.0,591.0,591.0,591.0,591.0,793.0,793.0,870.0,870.0,887.0,1203.0,1333.0,1400.0,1511.0,1540.0,1580.0,1765.0,1937.0,2021.0,2152.0,2192.0,2194.0,2274.0,2355.0,2462.0,2586.0,2653.0,2669.0,2679.0,2769.0,2854.0,2941.0,3040.0,3175.0,3220.0,3225.0,3256.0,3313.0,3460.0,3529.0,3646.0,3674.0,3679.0,3698.0
